id,description,chart_template_id/id,type_tax_use,name,type,amount,account_collected_id/id,account_paid_id/id,base_code_id/id,tax_code_id/id,ref_base_code_id/id,ref_tax_code_id/id,tax_sign,base_sign,ref_base_sign,ref_tax_sign,parent_id/id
tax_input_vat,,thai_rjc_chart,purchase,Input Tax,percent,0.07,thai_rjc_11601,thai_rjc_11603,tc_base_input,tc_tax_vat_input,,,,,,,
tax_output_vat,,thai_rjc_chart,sale,Output Tax,percent,0.07,thai_rjc_21410,thai_rjc_21411,tc_base_output,tc_tax_vat_output,,,,,,,
tax_wht_co_1,,thai_rjc_chart,purchase,Company Withholding Tax 1% (Transportation),percent,0.01,thai_rjc_21310,thai_rjc_21310,tc_base_wht_co_other,tc_tax_wht_co_other,,,,,,,
tax_wht_co_2,,thai_rjc_chart,purchase,Company Withholding Tax 2% (Advertising),percent,0.02,thai_rjc_21310,thai_rjc_21310,tc_base_wht_co_other,tc_tax_wht_co_other,,,,,,,
tax_wht_co_3,,thai_rjc_chart,purchase,Company Withholding Tax 3% (Service),percent,0.03,thai_rjc_21310,thai_rjc_21310,tc_base_wht_co_serv,tc_tax_wht_co_serv,,,,,,,
tax_wht_co_5,,thai_rjc_chart,purchase,Company Withholding Tax 5% (Rental),percent,0.05,thai_rjc_21310,thai_rjc_21310,tc_base_wht_co_other,tc_tax_wht_co_other,,,,,,,
tax_wht_pers_1,,thai_rjc_chart,purchase,Personal Withholding Tax 1% (Transportation),percent,0.01,thai_rjc_21310,thai_rjc_21310,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,,,,,
tax_wht_pers_2,,thai_rjc_chart,purchase,Personal Withholding Tax 2% (Advertising),percent,0.02,thai_rjc_21310,thai_rjc_21310,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,,,,,
tax_wht_pers_3,,thai_rjc_chart,purchase,Personal Withholding Tax 3% (Service),percent,0.03,thai_rjc_21310,thai_rjc_21310,tc_base_wht_pers_serv,tc_tax_wht_pers_serv,,,,,,,
tax_wht_pers_5,,thai_rjc_chart,purchase,Personal Withholding Tax 5% (Rental),percent,0.05,thai_rjc_21310,thai_rjc_21310,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,,,,,
tax_wht_income_1,,thai_rjc_chart,sale,Withholding Income Tax 1% (Transportation),percent,0.01,thai_rjc_11604,thai_rjc_11604,,,,,,,,,
tax_wht_income_2,,thai_rjc_chart,sale,Withholding Income Tax 2% (Advertising),percent,0.02,thai_rjc_11604,thai_rjc_11604,,,,,,,,,
tax_wht_income_3,,thai_rjc_chart,sale,Withholding Income Tax 3% (Service),percent,0.03,thai_rjc_11604,thai_rjc_11604,,,,,,,,,
tax_wht_income_5,,thai_rjc_chart,sale,Withholding Income Tax 5% (Rental),percent,0.05,thai_rjc_11604,thai_rjc_11604,,,,,,,,,
