id, name, category_id/id, uom_type, rounding, factor_inv, factor
product.uom_day,วัน, product.uom_categ_wtime, Reference Unit of Measure for this category,0.01,1,1
product.uom_hour,ชั่วโมง, product.uom_categ_wtime, Smaller than the reference Unit of Measure,0.01,0.125,8
product.uom_กรัม,กรัม, product.product_uom_categ_kgm, Smaller than the reference Unit of Measure,0.01,0.001,1000
product.uom_กก,กก., product.product_uom_categ_kgm, Reference Unit of Measure for this category,0.01,1,1
product.uom_ตัน,ตัน, product.product_uom_categ_kgm, Bigger than the reference Unit of Measure,0.01,1000,0.001
product.uom_ลูกบาศก์เมตร,ลูกบาศก์เมตร, product.uom_categ_volume, Reference Unit of Measure for this category,0.01,1,1
product.uom_ลูกบาศก์เซ็นติเมตร,ลูกบาศก์เซ็นติเมตร, product.uom_categ_volume, Smaller than the reference Unit of Measure,0.01,0.000001,1000000
product.uom_กระป๋อง,กระป๋อง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_กล่อง,กล่อง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ก้อน,ก้อน, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_กุรุส,กุรุส, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ขวด,ขวด, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_คัน,คัน, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_คู่,คู่, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ชุด,ชุด, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ซี่,ซี่, product.product_uom_categ_unit, Bigger than the reference Unit of Measure,0.001,12,0.0833
product.uom_ดวง,ดวง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ดอก,ดอก, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ตัว,ตัว, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ถัง,ถัง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ถุง,ถุง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ท่อ,ท่อ, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ใบ,ใบ, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ปี๊บ,ปี๊บ, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ผืน,ผืน, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_แผ่น,แผ่น, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_พวง,พวง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_แพค,แพค, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ม้วน,ม้วน, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_เม็ด,เม็ด, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ลัง,ลัง, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ลูก,ลูก, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_เล่ม,เล่ม, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_เส้น,เส้น, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_หลอด,หลอด, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_ห่อ,ห่อ, product.product_uom_categ_unit, Smaller than the reference Unit of Measure,1,1,1
product.uom_โหล,โหล, product.product_uom_categ_unit, Bigger than the reference Unit of Measure,0.001,144,0.00694
product.uom_อัน,อัน, product.product_uom_categ_unit, Reference Unit of Measure for this category,1,1,1
product.uom_เมตร,เมตร, product.uom_categ_length, Reference Unit of Measure for this category,0.01,1,1
product.uom_เซ็นติเมตร,เซ็นติเมตร, product.uom_categ_length, Smaller than the reference Unit of Measure,0.01,0.01,100
